Date,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E,Stock_F,Stock_G,Stock_H,Stock_I,Stock_J
30/12/2019,100,100,100,100,100,100,100,100,100,100
31/12/2019,99.35,101.1,100.55,99.66,100.15,99.5,100.33,100.39,99.99,99.95
01/01/2020,99.85,100.51,100.12,98.09,100.1,100.41,103.67,101.16,100,101.22
02/01/2020,101.12,101.67,101.23,98.25,99.94,100.96,103.99,100.99,100.2,102.34
03/01/2020,100.65,101.61,102.31,99.62,100.77,102.29,103.24,101.64,100.9,101.98
06/01/2020,101.71,99.77,102.16,100.44,100.44,102.96,103.62,101.52,100.04,101.68
07/01/2020,102.29,100.24,103.33,100.5,98.66,102.41,103.27,99.99,99.49,102.11
08/01/2020,102.47,99.29,103.4,99.5,98.13,101,103.11,99.85,99.53,101.27
09/01/2020,102.19,98.87,103.49,99.87,98.89,100.75,103.38,100.87,98.9,101.79
10/01/2020,103.01,97.31,102.12,99.42,97.46,101.98,103.2,100.02,100.88,101.34
13/01/2020,103.27,96.51,101.9,101.02,97.25,101.85,103.06,103.08,100.62,101.15
14/01/2020,101.37,96.26,100.22,101.28,96.8,102.81,101.54,103.59,101.58,100.6
15/01/2020,100.12,96.59,99.14,102.97,97.02,103.74,103.23,103.99,101.3,102.41
16/01/2020,100.68,95.19,101.1,102.79,96.29,104.51,103.18,104.12,99.6,101.79
17/01/2020,100.24,94.52,101.33,101.72,97.23,104.03,103.93,103.5,100.73,101.47
20/01/2020,101.45,93.79,102.56,102.15,96.58,104.45,102.53,102.74,101.41,102.04
21/01/2020,98.97,94.17,101.99,100.91,98.07,102.93,104.4,103.21,101.61,100.8
22/01/2020,100.46,94.8,101.08,101.32,98.2,102.49,103.93,103.6,100.52,102.25
23/01/2020,100.13,95.42,101.76,101.19,96.42,101.21,104.77,103.7,100.62,103.59
24/01/2020,100.35,95.34,102.11,101.71,97.01,100.83,104.97,101.98,99.71,103.66
27/01/2020,100.4,95,102.1,100.88,98.29,99.53,103.55,100.71,100.28,103.26
28/01/2020,102.56,93.83,102.35,101.22,98.55,97.94,104,100.57,99.53,103.41
29/01/2020,102.79,93.73,101.31,98.58,98.95,97.91,102.87,100.94,99.28,103.12
30/01/2020,101.22,92.61,101.42,100.37,101.15,99.29,103.72,100.2,99.5,103.19
31/01/2020,102.12,93.27,102.34,98.97,104.08,97.92,103.16,99.74,100.26,104.17
03/02/2020,103.01,94.86,101.8,98.47,104.63,96.74,103.87,100.19,98.14,104.33
04/02/2020,105.12,93.42,100.33,98.91,104.42,98.79,104.52,100.75,99.4,103.87
05/02/2020,105.74,94.07,100.58,98.99,101.91,100.53,105.56,101.99,97.31,103.12
06/02/2020,107.35,94.36,99.85,98.78,101.61,100,107.21,100.53,96.58,102.85
07/02/2020,107.45,93.36,101.58,99.71,101.07,99.93,106.71,101.08,96.69,102.68
10/02/2020,107.24,94.14,101.47,99.54,101.32,101.1,106.16,100.62,97.74,104.11
11/02/2020,107.4,95.04,101.54,98.9,101.09,102.52,106.99,100.65,97.21,102.46
12/02/2020,108.86,95.35,101.03,99.22,101.45,102.96,106.94,101.53,98.62,102.29
13/02/2020,109.08,94.07,101.63,100.28,100.83,104.21,107.02,101.93,100.91,102.43
14/02/2020,109.19,93.88,101.36,99.86,100.47,103.03,107.41,100.2,101.87,102.4
17/02/2020,109.11,92.99,101.45,99.22,101.28,102.77,109.06,98.72,101.94,103.08
18/02/2020,107.85,93.28,100.76,99,99.62,103.14,107.09,98.83,100.71,103.43
19/02/2020,108.95,91.71,101.82,97.81,99.66,102.56,107.52,98.83,99.32,102.77
20/02/2020,108.49,91.66,100.76,99.24,98.71,102.52,105.58,99.31,99.42,101.69
21/02/2020,108.05,90.17,101.33,98.51,100.29,101.44,105.95,98.06,99.33,101.79
24/02/2020,108.54,90.05,100.69,96.3,100.22,100.52,106.78,99.38,99.62,102.01
25/02/2020,107.94,90.01,100.55,97.33,98.38,98.86,108.59,100.47,100.78,102.55
26/02/2020,107.41,91.73,100.11,97.44,98.35,98.85,108.54,99.78,100.29,101.38
27/02/2020,105.55,94.67,99.87,96.34,99.29,97.56,108.62,98.54,100.72,100.93
28/02/2020,105.76,95.22,100.56,96.62,97.94,97.89,107.57,100.69,101.43,101.22
02/03/2020,107.08,94.4,99.44,96.27,97.79,97.72,109.61,101.81,101.13,101.21
03/03/2020,107.12,93.2,99.07,96.83,97.02,97.63,110.54,102.04,101.02,100.09
04/03/2020,108.48,92.49,98.21,98.49,95.62,95.47,108.59,104.52,100.66,100.35
05/03/2020,108.08,93.05,98.21,100.58,95.46,95.87,109.25,105.94,99.99,100.08
06/03/2020,108.16,91.52,100.34,99,94.09,96.95,108.06,106.46,100.04,97.75
09/03/2020,109.28,90.33,100.14,97.65,93.8,95.71,107.24,106.44,99.77,97.78
10/03/2020,110.32,91.11,100.48,97.52,93.08,94.72,105.95,105.79,98.11,96.34
11/03/2020,109.3,92.87,102.21,97.77,94.69,95.6,107.03,105.34,97.12,96.02
12/03/2020,109.15,92.47,102.39,98.73,94.37,94.26,107.03,106.82,96.86,97.66
13/03/2020,108.37,92.49,101.98,98.55,94.46,94.41,106.67,107.53,96.91,97.48
16/03/2020,108.96,93,104.49,98.3,94.92,94.15,108.02,108.45,96.3,96.88
17/03/2020,108.59,92.32,105.51,96.76,95.32,94.73,108.97,109.25,96.96,97.34
18/03/2020,108.01,93.63,106.47,97.14,94.79,93.62,110.01,109.65,96.55,97.38
19/03/2020,108.16,92.52,108.52,94.99,96.01,93.97,109.9,110.67,95.29,98.14
20/03/2020,109.21,92.1,107.91,95.86,96.24,94.91,109.21,109.17,94.77,99.11
23/03/2020,108.34,91.49,108.05,94.53,95.8,96.06,109.25,108.84,93.89,98.68
24/03/2020,108.06,90.39,109.04,96.07,96.47,96.51,109.27,109.72,94.58,99.4
25/03/2020,106.09,89.65,109.68,96.22,98,95.09,107.86,108.43,93.68,99.3
26/03/2020,105.29,88.34,108.44,96.72,97.95,94.87,108.02,108.44,93.42,100.56
27/03/2020,105.31,89.24,107.44,96.94,98.45,94.14,108.48,108.4,93.62,100.23
30/03/2020,104.6,90.69,108.95,96.55,99.49,95.37,109.22,109.02,93.93,101.72
31/03/2020,103.44,91.75,108.6,96.24,98.77,94.47,106.95,109.15,94.04,100.12
01/04/2020,104.25,92.42,107.55,96.54,98.6,95.11,107.03,110.12,93.48,100.25
02/04/2020,105.04,91.89,106.87,95.86,97.21,93.95,105.83,110.58,92.98,99.81
03/04/2020,106.39,91.89,107.62,95.82,95.89,94.41,105.43,111.68,94.15,100.24
06/04/2020,104.64,94.05,106.93,96.01,95.87,95.36,104.29,111.97,94.35,100.13
07/04/2020,104.45,92.28,108.53,94.44,95.42,93.61,105.05,112.33,93.79,99.56
08/04/2020,104.3,90.16,108.34,94.82,94.32,92.73,105.05,112.52,91.82,99.28
09/04/2020,104.65,89.13,109.89,96.7,94.45,92.53,102.1,112.03,90.4,101.71
10/04/2020,105.47,90.2,108.5,97.29,94.78,92.92,101.25,112.8,90.66,103.28
13/04/2020,107.03,90.26,109.09,97.79,95.45,91.91,101.01,113.82,92.07,104.01
14/04/2020,107.87,90.56,109.55,98.04,96.43,90.17,99.7,114.7,91.93,105.54
15/04/2020,109.14,90.72,110.75,97.07,96.23,90.16,97.91,115.69,91.94,103.75
16/04/2020,107.66,90.48,110.74,96.51,97.74,91.31,98.43,117.18,93.41,103.14
17/04/2020,107.78,89.3,109.73,97.61,96.2,90.51,96.67,116.91,91.52,100.65
20/04/2020,109.08,90.25,110.73,97.39,96.44,91.2,97,115.15,90.36,100.52
21/04/2020,109.2,89.34,110.02,97.02,96.97,90.97,96.83,113.8,91.08,102.11
22/04/2020,108.73,88.73,111.25,97.6,96.55,91.97,96.28,115.4,90.29,102.86
23/04/2020,108.06,88.78,110.96,96.61,98.88,92.74,97.66,116.78,91.16,102.7
24/04/2020,108.84,90.26,112.84,98.25,98.27,93.06,97.38,117.82,91.38,102.8
27/04/2020,107.92,88.64,113.64,98.36,97.15,92.3,97.73,119.87,91.14,103.99
28/04/2020,106.91,87.85,113.08,96.75,96.16,92.83,97.49,118.95,92.52,105.08
29/04/2020,106.9,89.92,113.94,95.76,96,92.1,96.69,118.37,92.46,105.32
30/04/2020,106.59,89.2,114.48,95.35,97.28,92.1,96.64,117.56,92.62,102.17
01/05/2020,106.14,89.79,113.21,94.35,97.67,93.17,96.94,115.96,94.45,100.68
04/05/2020,104.92,88.06,114.36,93.85,97.7,93.11,96.79,115.74,94.46,99.89
05/05/2020,104.04,89.55,114.04,93.3,98.05,91.48,94.47,115.58,92.31,100.49
06/05/2020,104.59,89.6,112.95,93.35,98.66,92.21,93.94,114.58,92.45,99.25
07/05/2020,104.38,91.93,112.79,91.43,98.85,90.64,93.33,114.2,93.63,99.19
08/05/2020,105.13,92.23,114.48,92.85,99.55,91.16,93.97,112.78,93.54,98.55
11/05/2020,104.97,91.94,114.41,93.18,100.7,91.29,93.81,111.47,92.43,98.79
12/05/2020,105.03,90.54,114.7,92.76,100.75,91.87,92.51,111.42,90.42,99.53
13/05/2020,103.97,90.11,115.73,92.88,101.54,92.97,92.38,109.83,90.26,99.62
14/05/2020,103.82,89.87,116.65,93.95,101.59,94.5,93.13,108.92,87.45,99.62
15/05/2020,104.63,89.44,117.6,93.84,102.61,93.48,91.54,108.14,85.85,100.18
18/05/2020,105.59,89.11,118.25,95.46,103.04,92.43,93.21,107.23,85.15,99.44
19/05/2020,105.25,88.91,118.67,95.17,101.57,93.9,92.76,108.43,84.97,98.96
20/05/2020,106.48,88.27,118.25,95.07,103.4,92.77,91.88,108.47,85.09,97.36
21/05/2020,107.43,86.71,118.65,96.47,102.3,92.53,92,109.06,86,98.19
22/05/2020,107.2,87.72,118.86,95.09,102.54,92.61,91.89,108.28,85.26,97.02
25/05/2020,105.08,88.19,120.14,94.94,103.29,91.73,90.14,108.89,85.22,96.71
26/05/2020,103.78,87.65,120.64,94.98,103.41,92.37,89.76,108.11,85.26,97.35
27/05/2020,105.28,87.42,120.9,93.79,103.94,93.19,89.64,107.81,86.1,99.09
28/05/2020,105.53,86.46,121.25,93.65,102.78,92.54,89.82,108.1,85.14,99.12
29/05/2020,105.11,87.24,123,93.89,100.72,93.87,91.16,108.64,85.01,100.12
01/06/2020,105.7,86.18,123.19,94.1,101.94,91.6,92.57,108.44,85.74,101.77
02/06/2020,106.94,87.88,121.82,93.01,101.88,90,92.66,107.89,84.85,101.58
03/06/2020,108.39,88.14,121.64,92.45,103.63,89.49,92.65,108.43,86.56,101.58
04/06/2020,108.61,87.2,119.15,90.98,103.2,90.56,91.93,107.02,85.44,101.46
05/06/2020,108.86,87.12,119.65,90.29,102.53,90.12,94.58,105.08,86.13,100.68
08/06/2020,108.62,87.11,119.04,91.46,101.73,90.61,94.36,104.19,86.26,100.49
09/06/2020,107.8,87.07,119.29,91.8,101.51,89.7,93.37,103,84.92,98.03
10/06/2020,107.78,85.55,122.07,93.17,99.46,91.14,94.53,102.88,83,99.5
11/06/2020,108.85,85.78,122.1,94.14,99.62,91.24,93.73,103.53,84.27,99.43
12/06/2020,108.42,85.66,123.69,94.86,99.08,89.85,94.23,102.93,85.1,98.66
15/06/2020,109.26,85.21,122.93,95.35,99.1,89.59,94.15,103.02,84.61,99.85
16/06/2020,110.12,86.06,121.72,95.47,97.85,89.45,93.43,102.97,84.46,100.69
17/06/2020,110.72,85.86,121.64,94.75,97.78,91.01,94.56,101.3,83.23,101.8
18/06/2020,110.36,87.18,120.72,94.8,99.17,92.04,95.43,99.34,82.45,101.71
19/06/2020,110.34,88.7,119.7,94.17,99.92,93.64,96.8,99.27,82.22,101.5
22/06/2020,109.99,89.21,120.5,93.8,99.74,91.96,96.58,100.97,81.35,101.29
23/06/2020,109.39,88.02,120.03,93.85,100.1,91.95,95.42,99.22,82.13,101.25
24/06/2020,107.74,85.94,118.59,94.27,99.35,91.56,97.61,97.18,83.09,101.63
25/06/2020,106.85,84.74,119.42,94.89,100.28,91.45,96.33,98.11,82.75,100.02
26/06/2020,107.08,83.9,119.35,97.67,100.19,91.46,95.05,98.55,84.49,100.37
29/06/2020,106.97,83.35,118.31,98.23,100.5,89.29,94.36,99.65,83.68,98.95
30/06/2020,106.81,83.82,120.22,98.59,98.72,89.74,94.23,99.56,82.86,98.75
01/07/2020,109.91,82.79,122.15,98.66,98.6,89.64,95.61,100.36,83.83,98.57
02/07/2020,109.17,83.55,124.49,100.53,98.25,90.69,95.95,100.67,84.43,98.98
03/07/2020,109,81.61,123.8,99.62,97.41,91.01,96.79,103.8,84.03,99.26
06/07/2020,108.18,82.49,123.72,99.89,95.6,89.66,96.62,102.27,84.64,97.32
07/07/2020,107.01,82.8,124.98,99.42,95.7,90.03,96.65,103.16,84.53,96.83
08/07/2020,107.34,82.02,124.93,100.61,94.71,89.67,97.96,104.09,84.63,95.44
09/07/2020,106.5,82.44,126.07,102.5,95.56,88.88,98.17,104.14,83.87,94.7
10/07/2020,108.61,82.82,127.19,102.47,94.97,88.27,96.36,105.74,82.31,93.86
13/07/2020,109.38,82.76,125.79,102,96.3,87.34,96.93,104.69,84.82,93.4
14/07/2020,111.26,80.42,125.88,102.04,97.51,86.7,98.28,105.42,84.34,94.9
15/07/2020,110.38,81.28,125.75,102.81,97.85,86.71,99.02,105,84.7,95.25
16/07/2020,111.4,82.91,127.76,103.76,97.52,85.94,99.32,105.73,84.14,95
17/07/2020,111.56,83.51,129.77,103.5,98.29,84.73,100.04,105.6,85.1,94.17
20/07/2020,112.27,84.58,129.21,103.87,97.05,85.21,101.75,107.96,83.52,92.38
21/07/2020,114.24,85.04,127.56,104.99,97.27,85.12,101.76,107.41,84.32,90.74
22/07/2020,113.48,82.79,126.83,104.83,97.84,84.59,101.97,108.9,86.36,92.56
23/07/2020,115.54,83.16,126.93,103.6,96.81,85.27,103.06,108.78,85.63,92.33
24/07/2020,116.61,84.61,127.86,102.67,95.7,84.78,102.76,108.05,85.82,91.91
27/07/2020,116.35,85.05,127.64,102.69,96.72,85.53,102.97,108.31,85.61,90.33
28/07/2020,114.68,85.66,127.12,101.92,95.89,85.32,103.85,107.18,84.61,91.53
29/07/2020,114.19,86.73,127.29,102.07,93.81,84.59,104.14,107.68,83.81,91.08
30/07/2020,113.95,87.65,130,101.42,95.84,84.29,104,107.58,83.99,90.25
31/07/2020,113.5,87.94,128.96,101.03,96.44,84.21,105.66,107.09,83.88,91.82
03/08/2020,114.54,88.55,130.79,101.23,96.05,84.31,107.41,106.72,83.8,91.63
04/08/2020,114.33,88.44,128.88,100.57,97.44,83.76,106.96,106.5,82.68,90.24
05/08/2020,114.16,89.48,127.92,101.39,95.86,83.22,107.92,107.38,82.51,90.97
06/08/2020,115.56,88.53,126.67,99.71,97.33,83.44,107.4,107.43,81.71,90.92
07/08/2020,113.6,87.87,126.28,99.1,96.72,84.63,106.93,106.83,81.66,88.19
10/08/2020,111.62,87.83,126.1,98.34,96.03,85.6,107.45,106.86,82.7,87.23
11/08/2020,112.15,88.1,125.61,97.66,97.82,85.58,105.41,108.41,82.93,87.92
12/08/2020,111.37,89.29,127.24,97.55,96.82,84.45,105.74,108.22,82.33,87.83
13/08/2020,109.87,89.8,127.27,96.59,96.29,85.1,105.57,107,84.62,88.42
14/08/2020,109.4,89.14,128.44,95.59,97.57,82.75,105.08,106.05,84.44,89.03
17/08/2020,108.73,88.86,127.33,96.24,98.13,82.42,104.6,107.19,84.8,89.71
18/08/2020,108.91,87.87,126.23,96.88,97.14,81.1,104.6,108.39,86.68,88.7
19/08/2020,109.3,88.48,126.75,97.87,98.55,80.78,105.61,110.19,86.61,90.11
20/08/2020,109.74,87.72,125.72,98.54,99.38,81.76,106.17,111.92,87.49,88.53
21/08/2020,109.69,87.4,124.9,97.59,99.9,82.45,106.68,110.89,88.15,87.69
24/08/2020,110.39,86.56,126.67,98.68,99.82,82.7,106.95,111.65,89.68,88.64
25/08/2020,109.84,87.09,126.63,100.77,98.78,81.85,106.48,109.43,88.81,89.55
26/08/2020,110.75,87.69,129.1,100.84,99.74,84.3,106.65,110.13,87.99,89.34
27/08/2020,112.54,88.21,129.11,102.5,99.9,83.43,106.3,110.94,89.09,87.04
28/08/2020,113.68,89.85,128.85,102.21,101.6,85.86,105.15,111.9,88.11,87.19
31/08/2020,113.38,87.6,128.44,101,101.28,86.38,105.65,109.73,88.24,87.85
01/09/2020,114.36,88.38,128.85,102.01,102.67,86.32,107.64,110.64,86.99,88.64
02/09/2020,113.98,87.31,129.67,102.13,102.2,86.63,105.31,110.64,87.76,88.93
03/09/2020,113.42,88.03,128.9,101.53,102.54,85.6,104.2,110.73,86.59,89.33
04/09/2020,113.31,89.79,128.81,101.99,102.16,85.95,103.92,111.61,87.43,90.89
07/09/2020,114.29,91.61,126.9,101.07,103.53,86.7,104.39,112.94,87.66,90.93
